fileid,value
0.jpg,00864453
1.jpg,00414676
2.jpg,01271072
3.jpg,06602228
4.jpg,39310494
5.jpg,00104024
6.jpg,00729
7.jpg,18868407
8.jpg,02677038
9.jpg,00088795
10.jpg,09096193
11.jpg,02946202
12.jpg,00032579
13.jpg,00498982
14.jpg,27572834
15.jpg,03279892
16.jpg,15136860
17.jpg,08078440
18.jpg,03149917
19.jpg,6797216
20.jpg,17162297
21.jpg,24271905
22.jpg,06345720
23.jpg,58595852
24.jpg,25070939
25.jpg,10010666
26.jpg,0406672
27.jpg,00158359
28.jpg,00864237
29.jpg,25447427
30.jpg,00241801
31.jpg,00123689
32.jpg,07797727
33.jpg,10515026
34.jpg,00665
35.jpg,07536304
36.jpg,00301107
37.jpg,10204009
38.jpg,54680874
39.jpg,14804442
40.jpg,00106749
41.jpg,08611622
42.jpg,00500582
43.jpg,02204739
44.jpg,31914211
45.jpg,00880523
46.jpg,03293918
47.jpg,06317661
48.jpg,11140435
49.jpg,00484545
50.jpg,18868407
51.jpg,29884113
52.jpg,10204009
53.jpg,10825594
54.jpg,12130519
55.jpg,11456858
56.jpg,00864237
57.jpg,01889251
58.jpg,23871518
59.jpg,24271905
60.jpg,09647401
61.jpg,19054398
62.jpg,04683640
63.jpg,10206999
64.jpg,06275225
65.jpg,30117123
66.jpg,16319687
67.jpg,44958107
68.jpg,2008479
69.jpg,5932052
70.jpg,00361602
71.jpg,03205634
72.jpg,07313112
73.jpg,14602110
74.jpg,09694137
75.jpg,08982838
76.jpg,33448285
77.jpg,03011211
78.jpg,00365387
79.jpg,00602542
80.jpg,01050259
81.jpg,00056516
82.jpg,00199668
83.jpg,00103694
84.jpg,00741337
85.jpg,00255435
86.jpg,02531108
87.jpg,00245765
88.jpg,00127529
89.jpg,00177586
90.jpg,00641390
91.jpg,00007864
92.jpg,00032579
93.jpg,00213785
94.jpg,00305084
95.jpg,00355076
96.jpg,00144111
97.jpg,00498982
98.jpg,00104842
99.jpg,00575389
100.jpg,00081853
101.jpg,00044407
102.jpg,00074626
103.jpg,00374241
104.jpg,00000700
105.jpg,00233116
106.jpg,00391282
107.jpg,00191005
108.jpg,00046150
109.jpg,00024571
110.jpg,00185286
111.jpg,00072507
112.jpg,0406672
113.jpg,00161557
114.jpg,00288688
115.jpg,00221056
116.jpg,00078407
117.jpg,00062127
118.jpg,00381381
119.jpg,00035368
120.jpg,00427194
121.jpg,00153434
122.jpg,00068163
123.jpg,00093085
124.jpg,00092431
125.jpg,00243441
126.jpg,00096483
127.jpg,00337294
128.jpg,00079982
129.jpg,00487135
130.jpg,00513656
131.jpg,00542723
132.jpg,00485370
133.jpg,00002299
134.jpg,00758407
135.jpg,00204875
136.jpg,00330374
137.jpg,3402
138.jpg,22100
139.jpg,2500
140.jpg,3200
141.jpg,3528
142.jpg,18900
143.jpg,6600
144.jpg,5249
145.jpg,5700
146.jpg,1701
147.jpg,5900
148.jpg,20800
149.jpg,6401
150.jpg,4701
151.jpg,5400
152.jpg,5000
153.jpg,13500
154.jpg,8900
155.jpg,1964
156.jpg,8241
157.jpg,5300
158.jpg,16700
159.jpg,17107
160.jpg,2500
161.jpg,4100
162.jpg,48503
163.jpg,5200
164.jpg,2007
165.jpg,5337
166.jpg,3018
167.jpg,17300
168.jpg,5400
169.jpg,5200
170.jpg,2200
171.jpg,12088
172.jpg,6401
173.jpg,6662
174.jpg,10602
175.jpg,6600
176.jpg,5700
177.jpg,2101
178.jpg,3533
179.jpg,1963
180.jpg,29701
181.jpg,5919
182.jpg,4400
183.jpg,3001
184.jpg,2138
185.jpg,8001
186.jpg,2701
187.jpg,4301
188.jpg,28000
189.jpg,41600
190.jpg,7200
191.jpg,6401
192.jpg,23000
193.jpg,1703
194.jpg,6300
195.jpg,14700
196.jpg,13701
197.jpg,5201
198.jpg,5900
199.jpg,11100
200.jpg,17801
201.jpg,5800
202.jpg,6800
203.jpg,7776
204.jpg,27500
205.jpg,3000
206.jpg,5400
207.jpg,6700
208.jpg,2700
209.jpg,7401
210.jpg,3700
211.jpg,3900
212.jpg,6373
213.jpg,6900
214.jpg,21300
215.jpg,9101
216.jpg,1500
217.jpg,6101
218.jpg,4000
219.jpg,18600
220.jpg,0
221.jpg,3600
222.jpg,5080
223.jpg,7200
224.jpg,1941
225.jpg,6000
226.jpg,5301
227.jpg,2074
228.jpg,14001
229.jpg,3800
230.jpg,38000
231.jpg,6800
232.jpg,7001
233.jpg,6702
234.jpg,4500
235.jpg,3900
236.jpg,40401
237.jpg,2900
238.jpg,5900
239.jpg,23400
240.jpg,14301
241.jpg,4301
242.jpg,5700
243.jpg,7101
244.jpg,3501
245.jpg,9501
246.jpg,5100
247.jpg,6397
248.jpg,26400
249.jpg,4500
250.jpg,4200
251.jpg,1536
252.jpg,16900
253.jpg,2070
254.jpg,5200
255.jpg,2200
256.jpg,4114
257.jpg,2201
258.jpg,2542
259.jpg,13084
260.jpg,5301
261.jpg,3654
262.jpg,5700
263.jpg,4700
264.jpg,5202
265.jpg,4300
266.jpg,5000
267.jpg,4200
268.jpg,46400
269.jpg,18801
270.jpg,3201
271.jpg,5900
272.jpg,4600
273.jpg,4600
274.jpg,4200
275.jpg,4001
276.jpg,4202
277.jpg,5000
278.jpg,10371
279.jpg,18100
280.jpg,5600
281.jpg,13600
282.jpg,2361
283.jpg,5801
284.jpg,15600
285.jpg,7300
286.jpg,4500
287.jpg,5800
288.jpg,1973
289.jpg,3900
290.jpg,4901
291.jpg,2865
292.jpg,7000
293.jpg,5404
294.jpg,1938
295.jpg,6200
296.jpg,2300
297.jpg,7702
298.jpg,10108
299.jpg,2800
300.jpg,8000
301.jpg,4000
302.jpg,1510
303.jpg,21700
304.jpg,4800
305.jpg,19500
306.jpg,10800
307.jpg,10976
308.jpg,4800
309.jpg,3000
310.jpg,6400
311.jpg,9400
312.jpg,1800
313.jpg,19000
314.jpg,5701
315.jpg,5401
316.jpg,4000
317.jpg,1986
318.jpg,4203
319.jpg,530
320.jpg,4500
321.jpg,4500
322.jpg,3901
323.jpg,41500
324.jpg,5381
325.jpg,6881
326.jpg,4500
327.jpg,7600
328.jpg,12601
329.jpg,11700
330.jpg,2401
331.jpg,4800
332.jpg,5891
333.jpg,4000
334.jpg,2400
335.jpg,2102
336.jpg,4400
337.jpg,1935
338.jpg,1956
339.jpg,4378
340.jpg,3300
341.jpg,11200
342.jpg,4801
343.jpg,6200
344.jpg,4546
345.jpg,5900
346.jpg,6601
347.jpg,3600
348.jpg,23000
349.jpg,2000
350.jpg,609
351.jpg,14800
352.jpg,3639
353.jpg,2157
354.jpg,6601
355.jpg,5878
356.jpg,4800
357.jpg,23500
358.jpg,20801
359.jpg,5000
360.jpg,3100
361.jpg,6800
362.jpg,21900
363.jpg,12000
364.jpg,4700
365.jpg,4600
366.jpg,7701
367.jpg,37601
368.jpg,6398
369.jpg,12300
370.jpg,22300
371.jpg,17500
372.jpg,3000
373.jpg,21000
374.jpg,6200
375.jpg,28700
376.jpg,17600
377.jpg,50000
378.jpg,5000
379.jpg,5907
380.jpg,5700
381.jpg,4661
382.jpg,6601
383.jpg,4600
384.jpg,4695
385.jpg,8757
386.jpg,5069
